,year,CHN_brate,CHN_gdp,CHN_debt,CHN_inflation,US_brate,US_gdp,US_debt,US_inflation,IND_brate,IND_gdp,IND_debt,IND_inflation
0,1960,20.86,59716467625.0,,,23.7,543000000000.0,40.722366,1.457975986,41.995,37029884762.0,,1.7798778469999998
1,1961,18.02,50056868958.0,,,23.3,563000000000.0,42.589888,1.070724148,41.748999999999995,39232436723.0,,1.6952129390000001
2,1962,37.01,47209359006.0,,,22.4,605000000000.0,43.258888,1.198773348,41.483999999999995,42161482868.0,,3.6322149710000002
3,1963,43.37,50706799903.0,,,21.7,639000000000.0,45.504338,1.2396694209999999,41.2,48421924618.0,,2.946161357
4,1964,39.14,59708343489.0,,,21.1,686000000000.0,46.626236999999996,1.278911565,40.898,56480291292.0,,13.35526115
5,1965,37.88,70436266147.0,,,19.4,744000000000.0,46.915229,1.5851692640000001,40.586999999999996,59554856000.0,,9.474758592
6,1966,35.05,76720285970.0,,,18.4,815000000000.0,45.590258,3.015075377,40.274,45865463132.0,,10.80184835
7,1967,33.96,72881631327.0,,,17.8,862000000000.0,47.116479999999996,2.7727856230000003,39.968,50134943403.0,,13.06220248
8,1968,35.59,70846535056.0,,,17.6,943000000000.0,45.728392,4.271796153,39.672,53085457141.0,,3.237412426
9,1969,34.11,79705906247.0,,,17.9,1020000000000.0,44.933761,5.4623862,39.388000000000005,58447996416.0,,-0.58413661
10,1970,33.43,92602973434.0,,,18.4,1070000000000.0,43.890888000000004,5.838255338,39.108000000000004,62422484548.0,,5.09226162
11,1971,30.65,99800958648.0,,,17.2,1160000000000.0,44.253799,4.292766688,38.821999999999996,67350989633.0,,3.0799386839999996
12,1972,29.77,114000000000.0,,,15.6,1280000000000.0,44.985984,3.272278247,38.521,71463195541.0,,6.442097462
13,1973,27.93,139000000000.0,,,14.8,1430000000000.0,44.885422999999996,6.177760064,38.202,85515271632.0,,16.94081598
14,1974,24.82,144000000000.0,,,14.8,1550000000000.0,44.998597,11.054804800000001,37.866,99525901498.0,,28.59873408
15,1975,23.01,163000000000.0,,,14.6,1680000000000.0,44.652076,9.143146865,37.528,98472798814.0,,5.748430298
16,1976,19.91,154000000000.0,,,14.6,1870000000000.0,44.785834,5.744812635,37.205,103000000000.0,,-7.633947634
17,1977,18.93,175000000000.0,,,15.1,2080000000000.0,46.474767,6.501683995,36.909,121000000000.0,,8.307470092
18,1978,18.25,150000000000.0,,,15.0,2350000000000.0,47.992666,7.630963839,36.643,137000000000.0,,2.5230487569999998
19,1979,17.82,178000000000.0,,,15.6,2630000000000.0,49.362373999999996,11.25447113,36.400999999999996,153000000000.0,,6.275683367999999
20,1980,18.21,191000000000.0,,,15.9,2860000000000.0,49.703831,13.54920197,36.167,186000000000.0,,11.34607348
21,1981,20.91,196000000000.0,,,15.8,3210000000000.0,47.600814,10.33471534,35.918,193000000000.0,,13.112546900000002
22,1982,22.28,205000000000.0,,,15.9,3340000000000.0,47.787248,6.1314269999999995,35.631,201000000000.0,,7.8907427939999994
23,1983,20.19,231000000000.0,,,15.6,3630000000000.0,48.420415000000006,3.2124352330000003,35.289,218000000000.0,,11.8680813
24,1984,19.9,260000000000.0,,,15.6,4040000000000.0,48.980967,4.300535475,34.885999999999996,212000000000.0,,8.318907119
25,1985,21.04,309000000000.0,,,15.8,4340000000000.0,53.693939,3.545644152,34.418,233000000000.0,,5.556424232
26,1986,22.43,301000000000.0,,,15.6,4580000000000.0,56.604853000000006,1.8980477219999998,33.89,249000000000.0,,8.729720727
27,1987,23.33,273000000000.0,,7.233835531,15.7,4860000000000.0,57.710931,3.664563218,33.32,279000000000.0,,8.801125812999999
28,1988,22.37,312000000000.0,,18.81181794,16.0,5240000000000.0,58.898199,4.077741107,32.726,297000000000.0,,9.383471862
29,1989,21.58,348000000000.0,,18.24563836,16.4,5640000000000.0,59.656835,4.82700303,32.121,296000000000.0,,7.074280029
30,1990,21.06,361000000000.0,,3.0522901210000004,16.7,5960000000000.0,60.773839,5.39795644,31.517,321000000000.0,,8.971232503
31,1991,19.68,383000000000.0,,3.556685652,16.2,6160000000000.0,62.229006000000005,4.234963965,30.924,270000000000.0,,13.87024618
32,1992,18.27,427000000000.0,,6.35398134,15.8,6520000000000.0,61.825292000000005,3.028819678,30.348000000000003,288000000000.0,,11.78781704
33,1993,18.09,445000000000.0,,14.61007864,15.4,6860000000000.0,62.378928,2.9516569660000003,29.791999999999998,279000000000.0,,6.326890487999999
34,1994,17.7,564000000000.0,,24.25698435,15.0,7290000000000.0,63.105424,2.607441592,29.258000000000003,327000000000.0,,10.24793556
35,1995,17.12,735000000000.0,,16.79122702,14.6,7640000000000.0,64.360221,2.805419689,28.749000000000002,360000000000.0,,10.22488616
36,1996,16.98,864000000000.0,,8.313153344,14.4,8070000000000.0,65.356971,2.9312042000000003,28.261999999999997,393000000000.0,,8.977152338
37,1997,16.57,962000000000.0,,2.786468497,14.2,8580000000000.0,65.539227,2.337689937,27.789,416000000000.0,,7.164252115
38,1998,15.64,1030000000000.0,,-0.7731823459999999,14.3,9060000000000.0,67.029762,1.5522790990000002,27.324,421000000000.0,2.21,13.23083898
39,1999,14.64,1090000000000.0,,-1.4014738080000002,14.2,9630000000000.0,68.957916,2.188027197,26.861,459000000000.0,2.2,4.66982038
40,2000,14.03,1210000000000.0,,0.347806257,14.4,10300000000000.0,70.586353,3.3768572710000004,26.401,468000000000.0,2.55,4.00943591
41,2001,13.38,1340000000000.0,,0.7191324370000001,14.1,10600000000000.0,74.271782,2.8261711189999996,25.944000000000003,485000000000.0,3.03,3.779293122
42,2002,12.86,1470000000000.0,,-0.7319755,14.0,10900000000000.0,78.860691,1.5860316269999999,25.489,515000000000.0,3.5,4.297152039
43,2003,12.41,1660000000000.0,,1.1276019609999999,14.1,11500000000000.0,84.718783,2.270094973,25.034000000000002,608000000000.0,4.4900001,3.805858995
44,2004,12.29,1960000000000.0,,3.8246376239999997,14.0,12200000000000.0,88.877881,2.6772366930000002,24.570999999999998,709000000000.0,6.3,3.767251735
45,2005,12.4,2290000000000.0,,1.7764161680000001,14.0,13000000000000.0,92.268283,3.392746845,24.087,820000000000.0,7.9,4.24634362
46,2006,12.09,2750000000000.0,10.727758999999999,1.6494331009999998,14.3,13800000000000.0,96.370145,3.225944101,23.564,940000000000.0,9.559999900000001,5.796523376000001
47,2007,12.1,3550000000000.0,18.677816,4.816765313,14.3,14500000000000.0,98.629209,2.852672482,22.996,1220000000000.0,10.079025,6.372881356000001
48,2008,12.14,4590000000000.0,17.858862,5.925255289,14.0,14700000000000.0,96.10982299999999,3.839100297,22.39,1200000000000.0,10.100211999999999,8.349267049
49,2009,12.13,5100000000000.0,23.909598000000003,-0.7281713340000001,13.5,14400000000000.0,96.737439,-0.355546266,21.755,1340000000000.0,8.7393155,10.88235294
50,2010,11.9,6090000000000.0,27.29295,3.175327981,13.0,15000000000000.0,91.571466,1.6400434419999999,21.114,1680000000000.0,8.6822788,11.98938992
51,2011,11.93,7550000000000.0,27.81973,5.553897059,12.7,15500000000000.0,87.369295,3.1568415689999996,20.495,1820000000000.0,8.6812769,8.858360966000001
52,2012,12.1,8530000000000.0,29.611292,2.619526165,12.6,16200000000000.0,83.883423,2.069337265,19.923,1830000000000.0,8.6779076,9.312445605
53,2013,12.08,9570000000000.0,32.977529,2.6210490269999998,12.4,16800000000000.0,81.741871,1.464832656,19.416,1860000000000.0,8.8929116,10.90764331
54,2014,12.37,10400000000000.0,35.417504,1.921643416,12.5,17500000000000.0,79.759955,1.6222229769999998,18.984,2040000000000.0,9.1869159,6.353194544
55,2015,12.07,11000000000000.0,38.238062,1.437024514,12.4,18200000000000.0,77.71923199999999,0.118627136,18.625,2100000000000.0,9.6577894,5.872426595
56,2016,12.95,11100000000000.0,44.196537,2.0,12.2,18700000000000.0,78.037542,1.2615832059999998,18.332,2290000000000.0,9.893934,4.9410264580000005
57,2017,12.43,12100000000000.0,49.218025,1.593137255,11.8,19500000000000.0,77.662198,2.130110004,18.083,2650000000000.0,10.702557,2.490886999
58,2018,,13600000000000.0,,2.074788902,,20500000000000.0,,2.442583297,,2730000000000.0,,4.860699467
59,2019,,,,,,,,,,,,
